French,English
partie,part
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
attention,Warning
voici,here is
donner,give
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
droit,law
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
croire,believe
gros,large
filles,girls
jouer,to play
